Date,returns,abs_returns,range,vol_chg,vol_5,vol_20,target,vol_60,vol_ratio
2017-05-22,0.005077531921248476,0.005077531921248476,0.0037157622485511337,-0.6339836343161644,0.009976862990322818,0.005135133252197005,0,0.0050341539042538875,1.0200588519667206
2017-05-23,0.002212872097414142,0.002212872097414142,0.003041078846271564,-0.23275307734870396,0.010050725298179115,0.0050003050098793005,0,0.005037660608659044,0.9925847329382343
2017-05-24,0.002332629893995759,0.002332629893995759,0.0033248952650699634,-0.029686422777311962,0.0018304593280305285,0.005014383958583966,1,0.005028926267321939,0.997108267656961
2017-05-25,0.004779631721910957,0.004779631721910957,0.0046326734887307775,0.3113946493351755,0.0018607585068846917,0.005106082173331964,0,0.00473807119803738,1.0776710521882877
2017-05-26,-0.00020687519589629295,0.00020687519589629295,0.0018617224597361048,-0.3177608025021412,0.002162341269388555,0.005067035326325115,0,0.004660673289733481,1.087189556385934
2017-05-30,-0.0008687651975827331,0.0008687651975827331,0.0026086526874677073,-0.28114190785573157,0.002256632826101681,0.00506205833460731,0,0.004663011003690382,1.0855771797667035
2017-05-31,-0.00024829950806613707,0.00024829950806613707,0.005135874257063018,0.9584686652723071,0.0023687713548685746,0.0050654364464418795,1,0.0046437939900525246,1.090796977060687
2017-06-01,0.007952136723808635,0.007952136723808635,0.0071499239349116705,-0.2860130954373011,0.0039023342505960616,0.005304676960688113,0,0.0047248951314131865,1.1227078724817152
2017-06-02,0.0033282625193292335,0.0033282625193292335,0.005201311717184076,0.2513220008606593,0.003719771374307608,0.005329636287532376,0,0.00472801218311762,1.1272467331118528
2017-06-05,-0.0007370406441799915,0.0007370406441799915,0.002213240431018424,-0.6849309734941348,0.003804682676798427,0.0053026866726435876,0,0.004730376266361542,1.1209862332414942
2017-06-06,-0.0031967499397273893,0.0031967499397273893,0.0035360412261463657,0.1195563050603834,0.00433187901044808,0.00537754841837352,0,0.00473921339164804,1.1346921891827921
2017-06-07,0.0018501268124438543,0.0018501268124438543,0.00447343150910465,0.07214974406657795,0.004230343647830823,0.005367990177747607,0,0.00474258058016084,1.1318711589641681
